app_id,tag
4500,Immersive
4500,Inventory Management
4500,Moddable
4500,Open World
4500,Post-apocalyptic
4500,RPG
4500,Sci-fi
4500,Shooter
4500,Singleplayer
4500,Survival
4500,Survival Horror
4700,4X
4700,Action
4700,Classic
4700,Grand Strategy
4700,Great Soundtrack
4700,Historical
4700,Medieval
4700,Military
4700,Moddable
4700,Multiplayer
4700,Real Time Tactics
4700,RTS
4700,Sandbox
4700,Simulation
4700,Singleplayer
4700,Strategy
4700,Tactical
4700,Turn-Based
4700,Turn-Based Strategy
4700,War
4720,Action
4720,Atmospheric
4720,Beat 'em up
4720,Classic
4720,Crime
4720,Dark
4720,Detective
4720,Difficult
4720,First-Person
4720,FPS
4720,Gore
4720,Horror
4720,Mystery
4720,Psychological Horror
4720,Shooter
4720,Singleplayer
4720,Story Rich
4720,Survival
4720,Survival Horror
4720,Thriller
4850,Classic
4850,Free to Play
4850,Historical
4850,Multiplayer
4850,Nostalgia
4850,RTS
4850,Singleplayer
4850,Strategy
4850,War
4920,Action
4920,Adventure
4920,Aliens
4920,Atmospheric
4920,Co-op
4920,Competitive
4920,First-Person
4920,FPS
4920,Futuristic
4920,Indie
4920,Moddable
4920,Multiplayer
4920,Online Co-Op
4920,RTS
4920,Sci-fi
4920,Shooter
4920,Space
4920,Strategy
4920,Tactical
4920,Team-Based
6000,Action
6000,Adventure
6000,Atmospheric
6000,Classic
6000,Co-op
6000,Dark
6000,Epic
6000,First-Person
6000,FPS
6000,Futuristic
6000,Great Soundtrack
6000,Multiplayer
6000,Sci-fi
6000,Shooter
6000,Singleplayer
6000,Space
6000,Strategy
6000,Tactical
6000,Team-Based
6000,War
6010,1990's
6010,2D
6010,Action
6010,Action-Adventure
6010,Adventure
6010,Atmospheric
6010,Classic
6010,Cult Classic
6010,Funny
6010,Great Soundtrack
6010,Movie
6010,Old School
6010,Pixel Graphics
6010,Point & Click
6010,Puzzle
6010,Remake
6010,Retro
6010,Singleplayer
6010,Story Rich
6020,Action
6020,Adventure
6020,Character Customization
6020,Classic
6020,Female Protagonist
6020,Fighting
6020,First-Person
6020,FPS
6020,Great Soundtrack
6020,Hack and Slash
6020,Moddable
6020,Multiplayer
6020,RPG
6020,Sci-fi
6020,Shooter
6020,Singleplayer
6020,Story Rich
6020,Swordplay
6020,Third Person
6020,Third-Person Shooter
6030,Action
6030,Adventure
6030,Atmospheric
6030,Classic
6030,Cult Classic
6030,First-Person
6030,FPS
6030,Great Soundtrack
6030,Hack and Slash
6030,Local Multiplayer
6030,Moddable
6030,Multiplayer
6030,Sci-fi
6030,Shooter
6030,Singleplayer
6030,Space
6030,Story Rich
6030,Swordplay
6030,Third Person
6030,Third-Person Shooter
