app_id,name,playtime_minutes,playtime_hours,playtime_2weeks,img_icon_url,img_logo_url
623990,Tom Clancy's Rainbow Six Siege - Test Server,0,0.0,0,20deaf466474f76f2ffdb345fe56f40fe3af74c0,
377840,FINAL FANTASY IX,854,14.23,0,5c5cb414b598d8b1a9056f12f625f92a601ad421,
431960,Wallpaper Engine,4534,75.57,0,72edaed9d748c6cf7397ffb1c83f0b837b9ebd9d,
433950,Bit Blaster XL,269,4.48,0,de749aa6f191796e141f0dce05bc80217d7532d1,
865040,Super Bit Blaster XL,0,0.0,0,c7e81e61caba41392d9c4c6966c706c1caec8af7,
438100,VRChat,1278,21.3,0,52c5f93bd9f8de008307f5fad95023600267462c,
374320,DARK SOULS™ III,10243,170.72,0,7abe1a33129c20cf10d2c74128bbd657a2a2c806,
444090,Paladins,2938,48.97,0,1565119c17f532338a0645b98e69e1fc1df0c29e,
596350,Paladins - Public Test,0,0.0,0,0a073dec4ffe8398b74369289d0c987134e35986,
444590,Skautfold: Shrouded in Sanity,74,1.23,0,8bae16454227c1ce616bc7830ccc780d3fd5830c,
447530,VA-11 Hall-A: Cyberpunk Bartender Action,463,7.72,0,eb4485232d4ac9ec5a786fa4ba5b9c95fc3e8d63,
450390,The Lab,15,0.25,0,69ca11312e3a1779946de8871d6bdb003636ffbf,
460950,Katana ZERO,380,6.33,0,874ee87e03abd66ff158727c051ceb173e3cba3c,
207140,SpeedRunners,3595,59.92,0,65cfa21149c415430fe36d83c23e079e6db476cc,
476650,The Silver Case,0,0.0,0,056463d45a7080dbbb1a68f16842d4292541a59b,
489830,The Elder Scrolls V: Skyrim Special Edition,206,3.43,0,0dfe3eed5658f9fbd8b62f8021038c0a4190f21d,
502500,ACE COMBAT™7: SKIES UNKNOWN,1728,28.8,0,f7e1587f3521cacbdebd07b25c05103a963160a8,
504230,Celeste,642,10.7,0,04cb7aa0b497a3962e6b1655b7fd81a2cc95d18b,
510540,Long Gone Days,27,0.45,0,bcea5b5b1c78f86ad58580ef391cfec8be5de1b1,
513510,Intralism,708,11.8,0,3f94582f921c9f738d6b9089ac11c8b349afd1d8,
104900,ORION: Prelude,25,0.42,0,2e934d58e275379f19f36ddc1676aedc2ef5e862,
518790,theHunter: Call of the Wild™,376,6.27,0,8cd121cb62c8f98019ed333716657449c8da2b81,
312660,Sniper Elite 4,1218,20.3,0,3a1dbbf59326c0bb78113db7ac0d70b9988b3ce8,
292030,The Witcher 3: Wild Hunt,6875,114.58,0,6e43cb881e60712c3cccdd7f871baa56acf15328,
7670,BioShock,0,0.0,0,9a7c9f640a76e6a32592277dbbc36a0f6da05372,
8850,BioShock 2,0,0.0,0,f5eda925c0e57373aaea4cae17b6f175115a8d54,
409710,BioShock Remastered,82,1.37,0,eb72262cd3ccc3219dd76392be3b60a4b6cbfd38,
409720,BioShock 2 Remastered,0,0.0,0,97527a02b36f8ac4aba21005c2d953cc908a08e1,
537110,Angels of Death,163,2.72,0,f55ce64b9f802dbc7efe04897cac37fb2ed28405,
418370,Resident Evil 7 Biohazard,924,15.4,0,675cd2fbaae3c2a74a0c7e9eea71e969ff90d6bb,
544330,Snake Pass,315,5.25,0,a4a42fb745404840580ee3c92e03b1686aa32ac4,
546560,Half-Life: Alyx,885,14.75,0,225032ac2ad1aca8f5fd98baa2b9daf1eebea5ca,
550650,Black Squad,609,10.15,0,213a736d8c5b75998b671de25e6621d1e7bc122a,
553850,HELLDIVERS™ 2,677,11.28,0,c3dff088e090f81d6e3d88eabbb67732647c69cf,
555950,Danganronpa Another Episode: Ultra Despair Girls,1056,17.6,0,d2e0b8094bd2c0cb98d4d414ac5d73d77cbc2c44,
208140,ENDLESS™ Space - Definitive Edition,260,4.33,0,7a72ff611d3d6567f91df23a733d22380a7d7d80,
586140,BlazBlue Centralfiction,278,4.63,0,e513b2c0985e9bf6adc5c51ad0eb7ad46193d912,
587650,Half-Life 2: DownFall,8,0.13,0,2bd7beb507f242025589a6da7f8889b1889da200,
588430,Fallout Shelter,141,2.35,0,bb39b682fefd9a95486911cd991d8cdc5d7b57c9,
588650,Dead Cells,1536,25.6,0,a431361e5dae5fd6ac2433064b62b2a37abc38f1,
597760,Yuppie Psycho,168,2.8,0,5eca8264c9b3ea2f9e58916d051441f0f541a381,
